🕘️更新时间,#genre#
2025-04-13 18:41:28,http://ms.fxim.net:808/hls/1/index.m3u8

💞央视💞,#genre#
CCTV-1综合,http://ms.fxim.net:808/hls/1/index.m3u8
CCTV-1综合,http://113.140.12.230:8888/newlive/live/hls/15/live.m3u8
CCTV-1综合,http://36.32.174.67:60080/newlive/live/hls/14/live.m3u8
CCTV-1综合,http://219.135.180.210:18888/hls/1/index.m3u8
CCTV-1综合,http://175.31.21.146:4480/hls/1/index.m3u8
CCTV-1综合,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1综合,http://39.170.52.236:808/hls/1/index.m3u8
CCTV-1综合,http://47.122.125.40:6666/hls/cctv1hd.m3u8
CCTV-1综合,http://110.53.52.63:8888/newlive/live/hls/2/live.m3u8
CCTV-1综合,http://36.105.100.208:35455/gaoma/cctv1.m3u8
CCTV-2财经,http://ms.fxim.net:808/hls/2/index.m3u8
CCTV-2财经,http://116.128.243.121:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2财经,http://113.140.12.230:8888/newlive/live/hls/3/live.m3u8
CCTV-2财经,http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8
CCTV-2财经,http://219.135.180.210:18888/hls/2/index.m3u8
CCTV-2财经,http://175.31.21.146:4480/hls/2/index.m3u8
CCTV-2财经,http://112.123.206.32:808/hls/2/index.m3u8
CCTV-2财经,http://39.170.52.236:808/hls/2/index.m3u8
CCTV-2财经,http://47.122.125.40:6666/hls/cctv2hd.m3u8
CCTV-2财经,http://110.53.52.63:8888/newlive/live/hls/3/live.m3u8
CCTV-3综艺,http://ms.fxim.net:808/hls/3/index.m3u8
CCTV-3综艺,http://113.140.12.230:8888/newlive/live/hls/4/live.m3u8
CCTV-3综艺,http://219.135.180.210:18888/hls/3/index.m3u8
CCTV-3综艺,http://39.170.52.236:808/hls/3/index.m3u8
CCTV-3综艺,http://47.122.125.40:6666/hls/cctv3hd.m3u8
CCTV-3综艺,http://58.17.48.228:808/hls/3/index.m3u8
CCTV-3综艺,http://110.53.52.63:8888/newlive/live/hls/4/live.m3u8
CCTV-3综艺,http://183.237.95.108:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3综艺,http://36.105.100.208:35455/gaoma/cctv3.m3u8
CCTV-3综艺,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
CCTV-4中文国际,http://ms.fxim.net:808/hls/4/index.m3u8
CCTV-4中文国际,http://113.140.12.230:8888/newlive/live/hls/5/live.m3u8
CCTV-4中文国际,http://36.32.174.67:60080/newlive/live/hls/4/live.m3u8
CCTV-4中文国际,http://219.135.180.210:18888/hls/4/index.m3u8
CCTV-4中文国际,http://39.170.52.236:808/hls/4/index.m3u8
CCTV-4中文国际,http://47.122.125.40:6666/hls/cctv4hd.m3u8
CCTV-4中文国际,http://110.53.52.63:8888/newlive/live/hls/5/live.m3u8
CCTV-4中文国际,http://61.163.181.78:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0#rtsp://118.212.169.134/PLTV/88888888/224/3221227022/10000100000000060000000000571118_0.smil
CCTV-4中文国际,http://36.105.100.208:35455/gaoma/cctv4k.m3u8
CCTV-4中文国际,http://www.douzhicloud.site:35455/gaoma/cctv4.m3u8
CCTV-5体育,http://ms.fxim.net:808/hls/5/index.m3u8
CCTV-5体育,http://113.140.12.230:8888/newlive/live/hls/6/live.m3u8
CCTV-5体育,http://219.135.180.210:18888/hls/5/index.m3u8
CCTV-5体育,http://175.31.21.146:4480/hls/5/index.m3u8
CCTV-5体育,http://39.170.52.236:808/hls/5/index.m3u8
CCTV-5体育,http://47.122.125.40:6666/hls/cctv5hd.m3u8
CCTV-5体育,http://58.17.48.228:808/hls/5/index.m3u8
CCTV-5体育,http://110.53.52.63:8888/newlive/live/hls/6/live.m3u8
CCTV-5体育,http://120.198.101.106:9901/tsfile/live/1030_1.m3u8
CCTV-5体育,http://36.105.100.208:35455/gaoma/cctv5.m3u8
CCTV-6电影,http://ms.fxim.net:808/hls/6/index.m3u8
CCTV-6电影,http://113.140.12.230:8888/newlive/live/hls/7/live.m3u8
CCTV-6电影,http://219.135.180.210:18888/hls/6/index.m3u8
CCTV-6电影,http://zzssw01.55555.io:9901/tsfile/live/0006_1.m3u8
CCTV-6电影,http://39.170.52.236:808/hls/6/index.m3u8
CCTV-6电影,http://47.122.125.40:6666/hls/cctv6hd.m3u8
CCTV-6电影,http://58.17.48.228:808/hls/6/index.m3u8
CCTV-6电影,http://110.53.52.63:8888/newlive/live/hls/8/live.m3u8
CCTV-6电影,http://183.237.95.108:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6电影,http://61.163.181.78:9901/tsfile/live/0006_1.m3u8
CCTV-7国防军事,https://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF
CCTV-7国防军事,http://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF
CCTV-7国防军事,http://ms.fxim.net:808/hls/7/index.m3u8
